Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
white-forest-fantasy-set,White Forest Fantasy Set,"<p>Enchanting white forest fantasy outfit featuring ethereal design elements and mystical accessories. Perfect for creating magical adventures with your Labubu doll.</p><ul><li>Premium fantasy fabric</li><li>Hand-crafted details</li><li>Mystical accessories included</li><li>Gentle hand wash</li><li>Perfect fit for Labubu dolls</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Fantasy, Best Seller, Doll Clothes",TRUE,Size,One Size,,,,,WFF_001,50,,100,deny,manual,45.99,59.99,TRUE,TRUE,WFF001,/images/products/白森林-White-Forest/Labubu Front View.png,1,White Forest Fantasy Set for Labubu Doll,FALSE,White Forest Fantasy Costume Set for Labubu Dolls | Pop Doll Fashion,Premium white forest fantasy costume set for Labubu dolls - complete with mystical accessories, ethereal design, and enchanting details. Perfect for collectors and doll enthusiasts.,5613,unisex,kids,WFF001,new,TRUE,/images/products/白森林-White-Forest/Labubu Front View.png,g,,,TRUE,45.99,59.99,TRUE,45.99,59.99,active
archangel-divine-costume,Archangel Divine Costume,"<p>Divine archangel costume with celestial wings and heavenly accessories. A truly magnificent outfit for your special Labubu doll.</p><ul><li>Celestial wing design</li><li>Golden halo accessory</li><li>Divine fabric quality</li><li>Hand-sewn details</li><li>Limited edition piece</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Divine, Limited Edition, Doll Clothes",TRUE,Size,One Size,,,,,ADC_002,55,,75,deny,manual,52.99,69.99,TRUE,TRUE,ADC002,/images/products/大天使-Archangel/Character Front View.png,1,Archangel Divine Costume for Labubu Doll,FALSE,Archangel Divine Costume | Pop Doll Fashion,Divine archangel costume with celestial wings for Labubu dolls.,5613,unisex,kids,ADC002,new,TRUE,/images/products/大天使-Archangel/Character Front View.png,g,,,TRUE,52.99,69.99,TRUE,52.99,69.99,active
rabbit-officer-uniform,Rabbit Officer Uniform,"<p>Official rabbit officer uniform with authentic details and professional accessories. Perfect for role-playing adventures.</p><ul><li>Official uniform design</li><li>Authentic badge details</li><li>Professional accessories</li><li>Durable construction</li><li>Role-play ready</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Officer, Popular, Doll Clothes",TRUE,Size,One Size,,,,,ROU_003,45,,120,deny,manual,38.99,48.99,TRUE,TRUE,ROU003,/images/products/兔子警官-Rabbit-Officer/Character Front View.png,1,Rabbit Officer Uniform for Labubu Doll,FALSE,Rabbit Officer Uniform | Pop Doll Fashion,Official rabbit officer uniform with authentic details for Labubu dolls.,5613,unisex,kids,ROU003,new,TRUE,/images/products/兔子警官-Rabbit-Officer/Character Front View.png,g,,,TRUE,38.99,48.99,TRUE,38.99,48.99,active
elegant-maid-outfit,Elegant Maid Outfit,"<p>Classic black and white maid outfit with traditional apron and headpiece. Elegant and timeless design for your Labubu doll.</p><ul><li>Classic maid design</li><li>Traditional apron</li><li>Matching headpiece</li><li>Premium fabric</li><li>Authentic details</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Maid, Trending, Doll Clothes",TRUE,Size,One Size,,,,,EMO_004,40,,150,deny,manual,42.99,54.99,TRUE,TRUE,EMO004,/images/products/女仆装-Maid-Outfit/Character Front View.png,1,Elegant Maid Outfit for Labubu Doll,FALSE,Elegant Maid Outfit for Labubu Dolls | Classic Black White Design | Pop Doll Fashion,Classic elegant maid outfit for Labubu dolls featuring traditional black and white design, matching apron, headpiece, and premium fabric. Timeless and authentic styling.,5613,unisex,kids,EMO004,new,TRUE,/images/products/女仆装-Maid-Outfit/Character Front View.png,g,,,TRUE,42.99,54.99,TRUE,42.99,54.99,active
little-swan-ballet-set,Little Swan Ballet Set,"<p>Graceful swan ballet costume with tutu and ballet accessories. Perfect for dance performances and elegant displays.</p><ul><li>Ballet tutu design</li><li>Swan-inspired details</li><li>Dance accessories</li><li>Graceful silhouette</li><li>Performance ready</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Ballet, New, Doll Clothes",TRUE,Size,One Size,,,,,LSB_005,35,,130,deny,manual,39.99,49.99,TRUE,TRUE,LSB005,/images/products/小天鹅-Little-Swan/Character Front View.png,1,Little Swan Ballet Set for Labubu Doll,FALSE,Little Swan Ballet Set with Tutu for Labubu Dolls | Dance Performance | Pop Doll Fashion,Graceful little swan ballet costume for Labubu dolls featuring elegant tutu, swan-inspired details, and dance accessories. Perfect for performances and elegant displays.,5613,unisex,kids,LSB005,new,TRUE,/images/products/小天鹅-Little-Swan/Character Front View.png,g,,,TRUE,39.99,49.99,TRUE,39.99,49.99,active
brown-donut-casual-set,Brown Donut Casual Set,"<p>Adorable brown donut themed casual outfit with sweet accessories. Perfect for everyday adventures and cute photo sessions.</p><ul><li>Donut themed design</li><li>Sweet accessories</li><li>Casual comfort</li><li>Playful details</li><li>Photo-ready</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Donut, Sweet, Doll Clothes",TRUE,Size,One Size,,,,,BDC_006,30,,110,deny,manual,29.99,39.99,TRUE,TRUE,BDC006,/images/products/棕色甜甜圈-Brown-Donut/Character Front View.png,1,Brown Donut Casual Set for Labubu Doll,FALSE,Brown Donut Casual Set for Labubu Dolls | Sweet Themed Outfit | Pop Doll Fashion,Adorable brown donut themed casual outfit for Labubu dolls with sweet accessories and playful details. Perfect for everyday adventures and cute photo sessions.,5613,unisex,kids,BDC006,new,TRUE,/images/products/棕色甜甜圈-Brown-Donut/Character Front View.png,g,,,TRUE,29.99,39.99,TRUE,29.99,39.99,active
white-happy-mouse-costume,White Happy Mouse Costume,"<p>Cheerful white mouse costume with adorable ears and tail. Brings joy and playfulness to your Labubu doll collection.</p><ul><li>Mouse ears and tail</li><li>Happy expression</li><li>Soft plush material</li><li>Adorable design</li><li>Playful costume</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Mouse, Cute, Doll Clothes",TRUE,Size,One Size,,,,,WHM_007,32,,140,deny,manual,34.99,44.99,TRUE,TRUE,WHM007,/images/products/白色开心鼠-White-Happy-Mouse/Character Front View.png,1,White Happy Mouse Costume for Labubu Doll,FALSE,White Happy Mouse Costume for Labubu Dolls | Cute Character Design | Pop Doll Fashion,Cheerful white happy mouse costume for Labubu dolls featuring adorable ears, soft fabric, and cute character details. Transform your doll into a lovable mouse character.,5613,unisex,kids,WHM007,new,TRUE,/images/products/白色开心鼠-White-Happy-Mouse/Character Front View.png,g,,,TRUE,34.99,44.99,TRUE,34.99,44.99,active
pink-little-colorful-set,Pink Little Colorful Set,"<p>Vibrant pink outfit with colorful accessories and matching headband. Perfect for adding a pop of color to your collection.</p><ul><li>Vibrant pink design</li><li>Colorful accessories</li><li>Matching headband</li><li>Eye-catching style</li><li>Fashion forward</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Pink, Vibrant, Doll Clothes",TRUE,Size,One Size,,,,,PLC_008,38,,125,deny,manual,36.99,46.99,TRUE,TRUE,PLC008,/images/products/粉色小炫彩-Pink-Little-Colorful/Character Front View.png,1,Pink Little Colorful Set for Labubu Doll,FALSE,Pink Little Colorful Outfit Set for Labubu Dolls | Vibrant Playful Design | Pop Doll Fashion,Vibrant pink colorful outfit set for Labubu dolls featuring playful design elements, mix-and-match pieces, and premium quality materials. Perfect for creating fun, colorful looks.,5613,unisex,kids,PLC008,new,TRUE,/images/products/粉色小炫彩-Pink-Little-Colorful/Character Front View.png,g,,,TRUE,36.99,46.99,TRUE,36.99,46.99,active
blue-big-mouth-fish-costume,Blue Big Mouth Fish Costume,"<p>Playful blue fish costume with big mouth design and ocean-themed accessories. Dive into underwater adventures!</p><ul><li>Big mouth fish design</li><li>Ocean themed</li><li>Playful costume</li><li>Water-inspired colors</li><li>Adventure ready</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Fish, Ocean, Doll Clothes",TRUE,Size,One Size,,,,,BBF_009,35,,105,deny,manual,33.99,43.99,TRUE,TRUE,BBF009,/images/products/蓝色大嘴鱼-Blue-Big-Mouth-Fish/Character Front View.png,1,Blue Big Mouth Fish Costume for Labubu Doll,FALSE,Blue Big Mouth Fish Costume for Labubu Dolls | Unique Aquatic Design | Pop Doll Fashion,Unique blue big mouth fish costume for Labubu dolls featuring distinctive mouth design, textured scales, and underwater-inspired details. Stand out with this creative aquatic costume.,5613,unisex,kids,BBF009,new,TRUE,/images/products/蓝色大嘴鱼-Blue-Big-Mouth-Fish/Character Front View.png,g,,,TRUE,33.99,43.99,TRUE,33.99,43.99,active
gold-v-white-luxury-suit,Gold V White Luxury Suit,"<p>Elegant luxury suit with gold V details and premium white fabric. The epitome of sophistication for your Labubu doll.</p><ul><li>Luxury fabric quality</li><li>Gold V detailing</li><li>Premium construction</li><li>Sophisticated design</li><li>High-end finish</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Luxury, Premium, Doll Clothes",TRUE,Size,One Size,,,,,GVW_010,60,,80,deny,manual,58.99,74.99,TRUE,TRUE,GVW010,/images/products/金V白色套装-Gold-V-White-Suit/Character Front View.png,1,Gold V White Luxury Suit for Labubu Doll,FALSE,Gold V White Luxury Suit for Labubu Dolls | Premium Elegant Design | Pop Doll Fashion,Elegant luxury suit for Labubu dolls featuring gold V details, premium white fabric, and sophisticated construction. The epitome of high-end doll fashion and style.,5613,unisex,kids,GVW010,new,TRUE,/images/products/金V白色套装-Gold-V-White-Suit/Character Front View.png,g,,,TRUE,58.99,74.99,TRUE,58.99,74.99,active
mario-adventure-costume,Mario Adventure Costume,"<p>Classic Mario-inspired adventure costume with iconic colors and gaming accessories. Ready for platform adventures!</p><ul><li>Gaming inspired design</li><li>Iconic color scheme</li><li>Adventure ready</li><li>Classic styling</li><li>Nostalgic appeal</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Mario, Gaming, Doll Clothes",TRUE,Size,One Size,,,,,MAC_011,42,,95,deny,manual,41.99,51.99,TRUE,TRUE,MAC011,/images/products/马里奥-Mario/Character Front View.png,1,Mario Adventure Costume for Labubu Doll,FALSE,Mario Adventure Costume for Labubu Dolls | Gaming Inspired Design | Pop Doll Fashion,Classic Mario-inspired adventure costume for Labubu dolls featuring iconic colors, gaming accessories, and nostalgic appeal. Ready for platform adventures and retro gaming fun.,5613,unisex,kids,MAC011,new,TRUE,/images/products/马里奥-Mario/Character Front View.png,g,,,TRUE,41.99,51.99,TRUE,41.99,51.99,active
black-plaid-formal-suit,Black Plaid Formal Suit,"<p>Sophisticated black plaid suit with formal accessories and elegant handbag. Perfect for special occasions and formal events.</p><ul><li>Black plaid pattern</li><li>Formal suit design</li><li>Elegant handbag</li><li>Professional look</li><li>Special occasion ready</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Formal, Plaid, Doll Clothes",TRUE,Size,One Size,,,,,BPF_012,48,,85,deny,manual,47.99,59.99,TRUE,TRUE,BPF012,/images/products/黑格套装-Black-Plaid-Suit/Character Front View.png,1,Black Plaid Formal Suit for Labubu Doll,FALSE,Black Plaid Formal Suit for Labubu Dolls | Sophisticated Business Attire | Pop Doll Fashion,Sophisticated black plaid formal suit for Labubu dolls featuring premium tailoring, business-ready design, and elegant plaid pattern. Perfect for formal occasions and professional styling.,5613,unisex,kids,BPF012,new,TRUE,/images/products/黑格套装-Black-Plaid-Suit/Character Front View.png,g,,,TRUE,47.99,59.99,TRUE,47.99,59.99,active
black-little-colorful-set,Black Little Colorful Set,"<p>Chic black outfit with colorful tweed accessories and modern styling. A perfect blend of classic and contemporary fashion.</p><ul><li>Chic black design</li><li>Colorful tweed accents</li><li>Modern styling</li><li>Contemporary fashion</li><li>Versatile wear</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Chic, Modern, Doll Clothes",TRUE,Size,One Size,,,,,BLC_013,39,,115,deny,manual,37.99,47.99,TRUE,TRUE,BLC013,/images/products/黑色小炫彩-Black-Little-Colorful/Character Front View.png,1,Black Little Colorful Set for Labubu Doll,FALSE,Black Little Colorful Set for Labubu Dolls | Chic Modern Tweed Design | Pop Doll Fashion,Chic black outfit set for Labubu dolls featuring colorful tweed accessories, modern styling, and contemporary fashion elements. Perfect blend of classic and modern design.,5613,unisex,kids,BLC013,new,TRUE,/images/products/黑色小炫彩-Black-Little-Colorful/Character Front View.png,g,,,TRUE,37.99,47.99,TRUE,37.99,47.99,active
c-brand-red-plaid-set,C Brand Red Plaid Set,"<p>Designer C Brand red plaid set with premium quality and authentic styling. A must-have for fashion-forward collectors.</p><ul><li>Designer C Brand quality</li><li>Red plaid pattern</li><li>Premium materials</li><li>Authentic styling</li><li>Fashion forward</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Designer, C Brand, Doll Clothes",TRUE,Size,One Size,,,,,CBR_014,46,,90,deny,manual,44.99,56.99,TRUE,TRUE,CBR014,/images/products/C家红格子-C-Brand-Red-Plaid/Character Front View.png,1,C Brand Red Plaid Set for Labubu Doll,FALSE,C Brand Red Plaid Designer Set for Labubu Dolls | Premium Quality | Pop Doll Fashion,Designer C Brand red plaid set for Labubu dolls featuring premium quality materials, authentic styling, and fashion-forward design. Must-have for luxury doll collectors.,5613,unisex,kids,CBR014,new,TRUE,/images/products/C家红格子-C-Brand-Red-Plaid/Character Front View.png,g,,,TRUE,44.99,56.99,TRUE,44.99,56.99,active
c-brand-black-dress,C Brand Black Dress,"<p>Sophisticated C Brand black dress with bow tie and elegant skirt design. The perfect choice for formal occasions.</p><ul><li>Designer black dress</li><li>Bow tie detail</li><li>Elegant skirt design</li><li>Premium quality</li><li>Formal occasion ready</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Designer, C Brand, Elegant, Doll Clothes",TRUE,Size,One Size,,,,,CBD_015,52,,70,deny,manual,49.99,64.99,TRUE,TRUE,CBD015,/images/products/C家黑色连衣裙-C-Brand-Black-Dress/Character Front View.png,1,C Brand Black Dress for Labubu Doll,FALSE,C Brand Black Dress for Labubu Dolls | Sophisticated Designer Fashion | Pop Doll Fashion,Sophisticated C Brand black dress for Labubu dolls featuring elegant designer styling, premium construction, and timeless black design. Luxury fashion for discerning collectors.,5613,unisex,kids,CBD015,new,TRUE,/images/products/C家黑色连衣裙-C-Brand-Black-Dress/Character Front View.png,g,,,TRUE,49.99,64.99,TRUE,49.99,64.99,active
d-brand-blue-dress,D Brand Blue Dress,"<p>Stylish D Brand blue dress with matching handbag and bow accessories. A complete ensemble for the fashion-conscious collector.</p><ul><li>Designer blue dress</li><li>Matching handbag</li><li>Bow accessories</li><li>Complete ensemble</li><li>Fashion forward</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Designer, D Brand, Stylish, Doll Clothes",TRUE,Size,One Size,,,,,DBD_016,48,,75,deny,manual,46.99,59.99,TRUE,TRUE,DBD016,/images/products/D家蓝色连衣裙-D-Brand-Blue-Dress/Character Front View.png,1,D Brand Blue Dress for Labubu Doll,FALSE,D Brand Blue Dress for Labubu Dolls | Contemporary Designer Style | Pop Doll Fashion,Stylish D Brand blue dress for Labubu dolls featuring contemporary designer styling, premium blue fabric, and modern fashion elements. Perfect for trendy doll collections.,5613,unisex,kids,DBD016,new,TRUE,/images/products/D家蓝色连衣裙-D-Brand-Blue-Dress/Character Front View.png,g,,,TRUE,46.99,59.99,TRUE,46.99,59.99,active
g-brand-coffee-dress,G Brand Coffee Dress,"<p>Premium G Brand coffee-colored dress with designer accessories and sophisticated styling. The ultimate in luxury doll fashion.</p><ul><li>Premium coffee color</li><li>Designer accessories</li><li>Sophisticated styling</li><li>Luxury quality</li><li>Ultimate fashion</li></ul>",Pop Doll Fashion,Toys & Games > Toys > Dolls & Dollhouses > Doll Clothes & Accessories,Doll Outfits,"Labubu, Designer, G Brand, Premium, Luxury, Doll Clothes",TRUE,Size,One Size,,,,,GCD_017,55,,65,deny,manual,51.99,66.99,TRUE,TRUE,GCD017,/images/products/G家咖色连衣裙-G-Brand-Coffee-Dress/Character Front View.png,1,G Brand Coffee Dress for Labubu Doll,FALSE,G Brand Coffee Dress for Labubu Dolls | Premium Designer Luxury | Pop Doll Fashion,Premium G Brand coffee-colored dress for Labubu dolls featuring designer accessories, sophisticated styling, and luxury quality materials. Ultimate in high-end doll fashion.,5613,unisex,kids,GCD017,new,TRUE,/images/products/G家咖色连衣裙-G-Brand-Coffee-Dress/Character Front View.png,g,,,TRUE,51.99,66.99,TRUE,51.99,66.99,active
